13590,6234,2023-10-31 10:37:54.211811
13591,6235,2023-10-31 10:37:54.234384
13590,6234,2023-10-31 10:37:54.251843
13591,6234,2023-10-31 10:37:54.273107
13591,6234,2023-10-31 10:37:54.383995
13591,6234,2023-10-31 10:37:54.444065
13592,6234,2023-10-31 10:37:54.514663
13593,6235,2023-10-31 10:37:54.568419
13593,6234,2023-10-31 10:37:54.635210
13594,6234,2023-10-31 10:37:54.695395
13594,6234,2023-10-31 10:37:54.755539
13592,6233,2023-10-31 10:37:54.816134
13590,6231,2023-10-31 10:37:54.876481
13591,6230,2023-10-31 10:37:54.936614
13590,6229,2023-10-31 10:37:55.007153
13588,6228,2023-10-31 10:37:55.067455
13590,6230,2023-10-31 10:37:55.127837
13567,6220,2023-10-31 10:37:55.195200
13567,6220,2023-10-31 10:37:55.258500
13567,6220,2023-10-31 10:37:55.318741
13566,6219,2023-10-31 10:37:55.400707
13566,6219,2023-10-31 10:37:55.469401
13566,6219,2023-10-31 10:37:55.540437
13567,6219,2023-10-31 10:37:55.610015
13567,6219,2023-10-31 10:37:55.680592
13566,6219,2023-10-31 10:37:55.760805
13566,6220,2023-10-31 10:37:55.831079
13566,6220,2023-10-31 10:37:55.921674
13566,6220,2023-10-31 10:37:56.001935
13562,6214,2023-10-31 10:37:56.082144
13564,6215,2023-10-31 10:37:56.163378
13565,6216,2023-10-31 10:37:56.242887
13564,6215,2023-10-31 10:37:56.313161
13564,6216,2023-10-31 10:37:56.393399
13562,6216,2023-10-31 10:37:56.473811
13561,6216,2023-10-31 10:37:56.544239
13558,6215,2023-10-31 10:37:56.624738
13555,6213,2023-10-31 10:37:56.704617
13553,6212,2023-10-31 10:37:56.795273
13550,6211,2023-10-31 10:37:56.865533
13547,6212,2023-10-31 10:37:56.941856
13547,6213,2023-10-31 10:37:57.016270
13547,6213,2023-10-31 10:37:57.086737
13547,6214,2023-10-31 10:37:57.156779
13547,6213,2023-10-31 10:37:57.237243
13546,6214,2023-10-31 10:37:57.317590
13546,6214,2023-10-31 10:37:57.397961
13544,6213,2023-10-31 10:37:57.487998
13543,6212,2023-10-31 10:37:57.568538
13542,6212,2023-10-31 10:37:57.648975
